,Protein1,Protein2,Interacting
10503,P53064,Q12527,0
10504,P53064,P29340,0
10505,P53064,Q04370,0
10506,P53064,P50091,0
10507,P53064,Q08215,0
10508,Q12464,P23542,0
10509,Q12464,Q03824,0
10510,Q12464,P27796,0
10511,P89105,P50091,0
10512,P04786,P50091,0
10513,P04786,Q12527,0
10514,P04786,P41903,0
10515,P04786,P80667,0
10516,P04786,P53112,0
10517,P04786,Q03824,0
10518,P04786,Q12527,0
10519,P29496,Q00582,0
10520,P29496,P22203,0
10521,P29496,P41318,0
10522,P29496,P25591,0
10523,P38111,Q12324,0
10524,P38111,Q04272,0
10525,P38111,Q04491,0
10526,P38111,Q02205,0
10527,P15938,P00729,0
10528,P15938,P35845,0
10529,P40090,Q12324,0
10530,Q04002,P35845,0
10531,Q04002,Q12324,0
10532,Q04002,P00729,0
10533,Q04002,P18962,0
10534,Q12208,Q02205,0
10535,Q12208,P17255,0
10536,Q12208,P31412,0
10537,Q12208,P22203,0
10538,Q12208,Q04749,0
10539,Q12208,Q08236,0
10540,P36146,P32939,0
10541,P36146,P41318,0
10542,P36146,P12868,0
10543,P36146,P12868,0
10544,P12689,Q04272,0
10545,P12689,Q12255,0
10546,P12689,Q00582,0
10547,P12689,P32600,0
10548,P12689,Q99385,0
10549,P34111,P14359,0
10550,P34111,P32939,0
10551,P40051,P53011,0
10552,P40051,P14904,0
10553,P40051,Q12241,0
10554,P34078,P14904,0
10555,P34078,P41807,0
10556,P34078,P32842,0
10557,P34078,Q02725,0
10558,P19880,P38959,0
10559,P19880,Q12408,0
10560,P19880,Q99385,0
10561,P25298,Q12324,0
10562,P25298,P35845,0
10563,P25298,P53011,0
10564,P43563,P27801,0
10565,P43563,P32842,0
10566,Q99257,Q12380,0
10567,Q99257,Q04491,0
10568,Q99257,P32912,0
10569,P20433,P32600,0
10570,P20433,P38959,0
10571,P20433,P47075,0
10572,P34087,P07267,0
10573,P34087,Q02205,0
10574,P34087,P32939,0
10575,P34087,P35845,0
10576,P34087,P53011,0
10577,P47017,P35845,0
10578,P47017,P32600,0
10579,P47017,Q04749,0
10580,P47017,Q99385,0
10581,P47017,Q12380,0
10582,P47017,P31412,0
10583,P38989,P41318,0
10584,P38989,P07267,0
10585,P38989,P32600,0
10586,P38989,P07267,0
10587,P38989,Q12380,0
10588,Q12267,P18962,0
10589,Q12267,P31412,0
10590,Q12267,P38247,0
10591,Q12098,P27801,0
10592,Q12098,P14359,0
10593,P09959,P31412,0
10594,P09959,P27801,0
10595,P09959,P14904,0
10596,Q08920,Q03308,0
10597,Q08920,Q04491,0
10598,Q08920,Q12255,0
10599,P32526,P35845,0
10600,P32526,P43601,0
10601,P32526,P32842,0
10602,P32526,P12868,0
10603,Q12386,P32842,0
10604,Q12386,Q02725,0
10605,Q12386,P12868,0
10606,Q12386,Q08001,0
10607,P38198,P47075,0
10608,P38198,Q08001,0
10609,P53267,P32939,0
10610,P53267,P39968,0
10611,P53267,P53290,0
10612,P53267,Q08001,0
10613,P32380,P32913,0
10614,P32380,Q04272,0
10615,P32380,P32939,0
10616,P32380,P12868,0
10617,P32380,P07267,0
10618,P32380,P32842,0
10619,P38863,P14904,0
10620,P38863,P00729,0
10621,P38863,P22203,0
10622,P38863,Q04272,0
10623,P38863,P07267,0
10624,P53540,Q07468,0
10625,P53540,P20795,0
10626,P53540,Q12324,0
10627,P53540,Q12380,0
10628,P38203,P38247,0
10629,P38203,P41318,0
10630,P38203,P32913,0
10631,P38203,Q08001,0
10632,P20050,P32318,0
10633,P20050,Q08236,0
10634,P20050,P41807,0
10635,P20050,Q07468,0
10636,P38859,P32318,0
10637,P38859,P14359,0
10638,P38859,Q04749,0
10639,P38859,Q07468,0
10640,P31380,Q03308,0
10641,P31380,Q12527,0
10642,P31380,P14904,0
10643,P53061,P00729,0
10644,P53061,P47075,0
10645,P53061,P27801,0
10646,P32558,P39968,0
10647,P32558,P25591,0
10648,P32558,P22855,0
10649,P32908,P38247,0
10650,P32908,P32318,0
10651,P32908,P32913,0
10652,P32908,Q04491,0
10653,P47037,Q07468,0
10654,P47037,P41318,0
10655,P47037,Q08001,0
10656,P02309,Q12527,0
10657,P02309,P38247,0
10658,P02309,P32842,0
10659,P02309,Q07468,0
10660,P02309,P43601,0
10661,P02293,P17255,0
10662,P02293,P32939,0
10663,P02293,P32912,0
10664,P40161,Q08001,0
10665,P40161,Q08236,0
10666,P40161,P32913,0
10667,P40161,P14359,0
10668,P40161,P07267,0
10669,P40161,P47075,0
10670,P09119,Q99385,0
10671,P09119,P53011,0
10672,Q12749,P47075,0
10673,Q12749,P32842,0
10674,Q12749,Q00582,0
10675,Q12749,P53011,0
10676,Q12749,Q12241,0
10677,P29539,P32318,0
10678,P29539,Q99385,0
10679,P21691,Q04749,0
10680,P21691,P38182,0
10681,P21691,P43601,0
10682,P35203,Q99385,0
10683,P35203,P32939,0
10684,P35203,Q12241,0
10685,P35203,P32600,0
10686,P35201,Q12380,0
10687,P35201,P31412,0
10688,P35201,P41807,0
10689,P35201,P12868,0
10690,P35201,P20795,0
10691,P36012,Q04272,0
10692,P36012,Q04749,0
10693,P36012,P32318,0
10694,P36012,Q12241,0
10695,P36012,Q12380,0
10696,P40568,P38182,0
10697,P16522,Q02948,0
10698,P16522,Q12380,0
10699,P16522,Q08236,0
10700,P16522,Q12380,0
10701,Q12262,Q99385,0
10702,Q12262,P38182,0
10703,P47167,P32939,0
10704,P47167,P53290,0
10705,P47167,P41318,0
10706,P38265,P17255,0
10707,P38265,P12868,0
10708,P38265,Q08236,0
10709,P38265,P32913,0
10710,P38265,P32600,0
10711,Q06675,P32366,0
10712,Q06675,Q12380,0
10713,Q06675,Q99385,0
10714,Q06675,Q08001,0
10715,Q02732,P32600,0
10716,Q02732,P25591,0
10717,Q02732,P31412,0
10718,Q02732,P32842,0
10719,P33895,Q12324,0
10720,P33895,P38247,0
10721,P33895,P27801,0
10722,P33895,Q12380,0
10723,P33895,P43601,0
10724,P33895,P41807,0
10725,P40460,Q12324,0
10726,P40460,P43601,0
10727,P40460,P38959,0
10728,P40460,Q12408,0
10729,P40460,P47075,0
10730,P40460,P53290,0
10731,Q12748,P17255,0
10732,Q12748,Q03308,0
10733,Q12748,P20795,0
10734,Q12748,Q12241,0
10735,P46995,P38316,0
10736,P46995,Q12380,0
10737,P32790,P32842,0
10738,P32790,P00729,0
10739,P32790,P53011,0
10740,P32790,P38247,0
10741,P54999,P43601,0
10742,P54999,Q12380,0
10743,P54999,P41318,0
10744,P54999,P12868,0
10745,P40089,Q07468,0
10746,P40089,P32842,0
10747,P40089,P32842,0
10748,Q06217,Q12408,0
10749,Q06217,P27801,0
10750,P40567,Q12255,0
10751,P40567,Q12527,0
10752,P40567,Q12380,0
10753,P40567,P47075,0
10754,P40567,Q03308,0
10755,P38902,P00729,0
10756,P26755,P27801,0
10757,P26755,P22855,0
10758,P26755,P07267,0
10759,P26755,P27801,0
10760,Q06819,P35845,0
10761,Q06819,P22203,0
10762,Q06819,P41807,0
10763,Q06819,Q04749,0
10764,Q02260,P14904,0
10765,P38210,P07267,0
10766,P34232,P22203,0
10767,P34232,Q00582,0
10768,P34232,P00729,0
10769,P34232,Q12380,0
10770,P34232,Q12324,0
10771,P40018,P32912,0
10772,P40018,Q12324,0
10773,Q12030,P22203,0
10774,Q12030,P22855,0
10775,Q12030,P17255,0
10776,Q12030,Q12241,0
10777,P35718,P53290,0
10778,P35718,P41318,0
10779,P35718,P41318,0
10780,P20434,P38959,0
10781,P20434,Q12241,0
10782,P20434,P22855,0
10783,P20434,Q12527,0
10784,P20434,Q08236,0
10785,Q12159,P32912,0
10786,Q12159,P31412,0
10787,P13393,Q02205,0
10788,P13393,P41318,0
10789,P35189,P32842,0
10790,P35189,P41318,0
10791,P33411,Q12255,0
10792,P33411,P12868,0
10793,P17890,P38959,0
10794,P17890,Q12527,0
10795,P15873,P43601,0
10796,P15873,P20795,0
10797,P15873,Q04272,0
10798,P15873,P38182,0
10799,P26754,P18962,0
10800,P26754,Q02205,0
10801,P32524,P14359,0
10802,P03069,P12868,0
10803,P03069,P38316,0
10804,P03069,P14904,0
10805,P03069,Q04491,0
10806,P11746,P12868,0
10807,P11746,P20795,0
10808,P11746,P38316,0
10809,P11746,P31412,0
10810,P11746,P53290,0
10811,P25299,P32318,0
10812,P25299,Q02725,0
10813,P25299,P27801,0
10814,P25299,P22203,0
10815,P25299,P41318,0
10816,P10962,Q03308,0
10817,P10962,P00729,0
10818,P10962,P27801,0
10819,P07273,P18962,0
10820,P07273,Q08236,0
10821,P07273,Q08236,0
10822,P07273,P38316,0
10823,P07273,Q03308,0
10824,P32910,P22203,0
10825,P32910,P47075,0
10826,P32910,P22203,0
10827,P32910,Q02205,0
10828,P16370,P17255,0
10829,P16370,P53011,0
10830,P16370,Q12408,0
10831,P18888,Q08001,0
10832,P29055,P00729,0
10833,P29055,P32600,0
10834,P29055,P14904,0
10835,P28519,Q04749,0
10836,P28519,Q07468,0
10837,P28519,Q02725,0
10838,P28519,P32912,0
10839,Q08932,Q99385,0
10840,Q08932,Q12408,0
10841,Q08932,P18962,0
10842,P41896,Q00582,0
10843,P41896,Q12241,0
10844,P41896,Q07468,0
10845,P41896,Q08236,0
10846,P41896,P22203,0
10847,Q02336,P41318,0
10848,P38826,Q12255,0
10849,P38826,P14359,0
10850,Q03330,P53011,0
10851,Q03330,P32939,0
10852,Q03330,P32912,0
10853,Q03330,P39968,0
10854,P49960,P43601,0
10855,P49960,Q08236,0
10856,P49960,Q08001,0
10857,Q01159,P22203,0
10858,Q01159,P41318,0
10859,Q01159,Q12380,0
10860,Q01159,P38959,0
10861,Q03338,P18962,0
10862,Q03338,P00729,0
10863,Q03338,P07267,0
10864,P50874,P25591,0
10865,P50874,P32939,0
10866,P49704,P25591,0
10867,P49704,Q12527,0
10868,P49704,P38182,0
10869,P27705,Q04491,0
10870,P27705,P32842,0
10871,P32566,P38182,0
10872,P32566,Q12408,0
10873,P32566,P32600,0
10874,P32566,P41318,0
10875,P39009,P53290,0
10876,P47074,Q04749,0
10877,P47074,P38959,0
10878,P47074,P32939,0
10879,P47074,Q02205,0
10880,P47074,Q12380,0
10881,P53040,P47075,0
10882,P53040,Q12527,0
10883,P53040,P43601,0
10884,P38207,P43601,0
10885,P38207,P41807,0
10886,P54791,P31412,0
10887,P54791,Q02725,0
10888,P19736,P41318,0
10889,P19736,P53011,0
10890,P19736,P38182,0
10891,P19736,Q99385,0
10892,P38262,Q03308,0
10893,O13297,P14359,0
10894,O13297,Q99385,0
10895,O13297,P22203,0
10896,O13297,Q08001,0
10897,O13297,P22203,0
10898,P53628,P27801,0
10899,P46678,P47075,0
10900,P46678,Q04272,0
10901,P46678,P00729,0
10902,P29056,P18962,0
10903,P29056,P14359,0
10904,P29056,Q04749,0
10905,Q12495,P32366,0
10906,Q12495,P32939,0
10907,Q12495,P32913,0
10908,Q12495,P07267,0
10909,Q12495,Q12408,0
10910,P54790,P14904,0
10911,P54790,P32600,0
10912,P54790,P25591,0
10913,P54790,Q00582,0
10914,P54790,P20795,0
10915,P32833,P17255,0
10916,P22336,Q12324,0
10917,P22336,P25591,0
10918,P22336,P17255,0
10919,P39682,Q12241,0
10920,P52488,P32842,0
10921,P52488,P07267,0
10922,P52488,P32912,0
10923,P52488,Q12255,0
10924,P52488,Q02205,0
10925,P32776,Q12241,0
10926,P32776,P38247,0
10927,P32776,P32912,0
10928,P13574,P14359,0
10929,P13574,P38316,0
10930,P13574,Q03308,0
10931,P13574,Q07468,0
10932,P13574,Q04749,0
10933,P38121,P53011,0
10934,P38121,P53290,0
10935,P38121,P43601,0
10936,P53973,P07267,0
10937,P53973,P32318,0
10938,P53973,Q12324,0
10939,P53973,P32318,0
10940,P53973,P32842,0
10941,P41895,P32318,0
10942,P41895,Q08236,0
10943,P41895,P32912,0
10944,P41895,Q12255,0
10945,P41895,Q12527,0
10946,P06839,Q03308,0
10947,P06839,Q12380,0
10948,P06839,P41807,0
10949,P06839,P12868,0
10950,P32591,Q12324,0
10951,P32591,Q12527,0
10952,P32591,P39968,0
10953,P32591,Q08236,0
10954,P32591,Q00582,0
10955,P39678,P17255,0
10956,P39678,Q02205,0
10957,P39678,P14359,0
10958,P39678,P00729,0
10959,Q00578,P41807,0
10960,Q00578,Q12241,0
10961,P29469,P31412,0
10962,P29469,P35845,0
10963,P29469,P38959,0
10964,P29469,P12868,0
10965,P04386,P32366,0
10966,P04386,P43601,0
10967,P04386,Q99385,0
10968,P08638,Q04749,0
10969,P08638,Q12324,0
10970,P08638,P00729,0
10971,P08638,P41807,0
10972,P19735,P12868,0
10973,P19735,Q07468,0
10974,P19735,Q03308,0
10975,P19735,P12868,0
10976,P07272,P35845,0
10977,P07272,P41807,0
10978,P07272,Q99385,0
10979,P07272,P39968,0
10980,P54784,Q04491,0
10981,P54784,P27801,0
10982,P54784,P32842,0
10983,P54784,Q12255,0
10984,P54784,P39968,0
10985,Q01454,Q99385,0
10986,Q01454,Q08236,0
10987,Q01454,Q00582,0
10988,Q01454,Q12408,0
10989,P24279,P38316,0
10990,P24279,P32842,0
10991,P24279,P20795,0
10992,P06701,P32939,0
10993,P06701,Q02725,0
10994,P06701,P25591,0
10995,P06701,Q02725,0
10996,P06701,P22203,0
10997,P25502,P22855,0
10998,P25502,P14359,0
10999,P36048,P31412,0
11000,P36048,P41318,0
11001,P36048,Q04491,0
11002,P41695,Q02725,0
11003,P41695,P32600,0
11004,P41695,Q08236,0
11005,P41695,Q03308,0
11006,P41695,Q12527,0
11007,P07276,P32842,0
11008,P07276,Q12408,0
11009,P07276,Q02725,0
11010,P07276,P20795,0
11011,P07276,P32912,0
11012,P39104,Q12527,0
11013,P39104,P31412,0
11014,P39104,Q99385,0
11015,P39104,Q02948,0
11016,P47047,P53290,0
11017,P47047,P32913,0
11018,P47047,P32842,0
11019,P47047,P43601,0
11020,P47047,Q12324,0
11021,P47047,P20795,0
11022,P47047,P32366,0
11023,P24384,Q12527,0
11024,P24384,P12868,0
11025,P24384,Q02725,0
11026,P24384,P38182,0
11027,P12954,P35845,0
11028,P12954,Q03308,0
11029,P12954,P38959,0
11030,P12954,Q12324,0
11031,P12954,Q12408,0
11032,P12954,Q12380,0
11033,P08518,P41807,0
11034,P08518,P32318,0
11035,P08518,P32912,0
11036,P08518,Q12527,0
11037,P08518,Q07468,0
11038,P08518,P14904,0
11039,P08518,P53011,0
11040,P14737,P32939,0
11041,P14737,P43601,0
11042,P14737,P17255,0
11043,P14737,P31412,0
11044,P07248,P35845,0
11045,P07248,Q04749,0
11046,P07248,Q04272,0
11047,P35177,P32842,0
11048,P35177,Q02725,0
11049,P11978,P00729,0
11050,P11978,P32939,0
11051,P11978,Q04491,0
11052,P11978,P32842,0
11053,P11978,Q00582,0
11054,P23255,P41318,0
11055,P23255,P32318,0
11056,P23255,P32913,0
11057,P06786,P39968,0
11058,P06786,P47075,0
11059,P06786,Q02725,0
11060,P06786,P35845,0
11061,P06786,P38247,0
11062,P13382,P53290,0
11063,P13382,Q12408,0
11064,P13382,P14359,0
11065,P13382,P14359,0
11066,P22579,Q12241,0
11067,P22579,P14359,0
11068,P22579,P38182,0
11069,P22579,P38959,0
11070,P22082,P22855,0
11071,P22082,P32912,0
11072,P22082,P14904,0
11073,P04050,P32939,0
11074,P04050,P39968,0
11075,P04050,P31412,0
11076,P04050,P32912,0
11077,P04050,P32600,0
11078,P04050,P41318,0
11079,P04050,Q12408,0
11080,P21951,Q04491,0
11081,P21951,Q04749,0
11082,P21951,P32318,0
11083,Q6WNK7,P38182,0
11084,P38996,Q12380,0
11085,P38996,P38247,0
11086,P38996,P53011,0
11087,P38351,Q03308,0
11088,Q06697,Q08001,0
11089,Q06697,Q04272,0
11090,Q06697,Q12324,0
11091,Q06697,P22203,0
11092,Q06697,P32600,0
11093,P53064,P27801,0
11094,P53064,P18962,0
11095,P53064,P38247,0
11096,P53064,P22203,0
11097,Q12464,P53011,0
11098,P89105,P47075,0
11099,P89105,P35845,0
11100,P89105,P53011,0
11101,P89105,P41807,0
11102,P89105,Q00582,0
11103,P04786,P53290,0
11104,P04786,P38247,0
11105,P04786,P20795,0
11106,P04786,Q07468,0
11107,P04786,Q02948,0
11108,Q12208,Q03723,0
11109,Q12208,Q03714,0
11110,Q12208,P48439,0
11111,Q12208,P53192,0
11112,Q12208,P22804,0
11113,P36146,P31382,0
11114,P36146,P48415,0
11115,P36146,Q08001,0
11116,P36146,P33754,0
11117,P12689,Q99394,0
11118,P34111,Q08444,0
11119,P34111,P15303,0
11120,P40051,P35179,0
11121,P40051,Q04491,0
11122,P27692,Q12025,0
11123,P27692,Q08109,0
11124,P17106,P16474,0
11125,P17106,P33755,0
11126,Q02486,P43555,0
11127,Q02486,P25574,0
11128,P38077,P16474,0
11129,P38077,Q03784,0
11130,P38077,P38353,0
11131,P38077,P40075,0
11132,P38077,P46964,0
11133,P38077,P20606,0
11134,P00830,P22804,0
11135,P00830,P33775,0
11136,P00830,P33891,0
11137,P21306,P32915,0
11138,P21306,P41543,0
11139,P21306,P38272,0
11140,P21306,Q99325,0
11141,Q06405,P41806,0
11142,Q06405,Q12404,0
11143,Q06405,P53847,0
11144,Q12349,P43555,0
11145,Q12165,Q03630,0
11146,Q12165,P43555,0
11147,Q12165,Q08109,0
11148,Q12165,P38334,0
11149,Q12165,Q08109,0
11150,P30902,P53008,0
11151,P30902,Q04491,0
11152,P30902,P33891,0
11153,P30902,Q02795,0
11154,P30902,P16474,0
11155,P30902,P32916,0
11156,P30902,P40540,0
11157,P09457,P32341,0
11158,P09457,P38307,0
11159,P09457,P39107,0
11160,P05626,Q03337,0
11161,P05626,Q99325,0
11162,P05626,P38307,0
11163,P05626,P25385,0
11164,P01097,Q05787,0
11165,P01097,P53008,0
11166,P01097,Q12063,0
11167,P01097,P32341,0
11168,P01097,P40482,0
11169,P32445,P32341,0
11170,P32445,Q05787,0
11171,P25605,P32915,0
11172,P25605,P22804,0
11173,P14908,P21825,0
11174,P14908,P53008,0
11175,P14908,P40540,0
11176,P14908,P33754,0
11177,P21954,P38428,0
11178,Q00539,P38272,0
11179,Q00539,P33775,0
11180,Q00539,Q03714,0
11181,Q00539,Q12404,0
11182,Q00539,Q12063,0
11183,P07342,P40540,0
11184,Q01217,P16474,0
11185,Q01217,Q04311,0
11186,Q01217,P40107,0
11187,Q01217,P53860,0
11188,P13433,P17967,0
11189,P13433,Q08109,0
11190,P49334,P53178,0
11191,P49334,P53178,0
11192,P49334,P33754,0
11193,P49334,P22804,0
11194,P53507,Q12431,0
11195,P53507,P33754,0
11196,P53507,P40056,0
11197,P53507,P33754,0
11198,P53507,Q12154,0
11199,P53507,Q08109,0
11200,P33448,Q92316,0
11201,P33448,P25694,0
11202,P28737,P39007,0
11203,P28737,Q12284,0
11204,P28737,P32368,0
11205,Q07807,P38272,0
11206,Q07807,P38272,0
11207,P23644,Q92328,0
11208,P23644,Q08215,0
11209,P14693,P53008,0
11210,P14693,Q03723,0
11211,P38825,Q92316,0
11212,P38825,P46964,0
11213,P36130,P35179,0
11214,P36130,P38353,0
11215,P40515,Q12154,0
11216,P40515,Q02795,0
11217,P40515,P32361,0
11218,P40515,Q06677,0
11219,P40515,P41806,0
11220,P47025,P41806,0
11221,P47025,P32361,0
11222,P47025,P16603,0
11223,P38169,P16603,0
11224,P38169,P53860,0
11225,P81450,Q08001,0
11226,P81450,P33754,0
11227,P81450,P39007,0
11228,P61829,Q03723,0
11229,P61829,P40075,0
11230,P53721,Q12063,0
11231,P53721,P40540,0
11232,P53721,Q03944,0
11233,P53721,P39543,0
11234,Q03713,P53192,0
11235,Q03713,Q06677,0
11236,Q03713,Q04491,0
11237,P00447,Q03103,0
11238,P00447,P41543,0
11239,P40513,P32361,0
11240,P40513,Q08444,0
11241,P40513,P25385,0
11242,P40513,P41543,0
11243,P40513,Q03944,0
11244,P00431,P32916,0
11245,P00431,Q92316,0
11246,P00431,P33891,0
11247,P10507,P25385,0
11248,P07236,P25386,0
11249,P07236,P48439,0
11250,P11914,P39007,0
11251,P11914,P16603,0
11252,P09624,Q12431,0
11253,P09624,P40056,0
11254,Q07540,P40107,0
11255,Q07540,P40075,0
11256,P15424,Q12025,0
11257,P15424,P39986,0
11258,P15424,Q03630,0
11259,P15424,P47133,0
11260,P15424,Q03944,0
11261,Q06892,P36039,0
11262,Q06892,P53008,0
11263,Q02784,Q06681,0
11264,Q02784,P53860,0
11265,Q02784,Q12745,0
11266,Q02784,Q99394,0
11267,Q02784,Q08215,0
11268,P08417,P43555,0
11269,P28241,Q03723,0
11270,P28241,P47133,0
11271,P28241,P47133,0
11272,P53193,Q08199,0
11273,P53193,P40107,0
11274,P53193,Q03630,0
11275,P40185,P32916,0
11276,P40185,P53847,0
11277,P40185,Q03784,0
11278,P40185,Q12431,0
11279,P40185,Q04651,0
11280,Q03020,P40107,0
11281,Q03020,P11655,0
11282,Q12184,P40075,0
11283,Q12184,P14906,0
11284,Q12184,Q02795,0
11285,Q12184,P53847,0
11286,Q12184,P53847,0
11287,P36775,Q99394,0
11288,Q08230,P53008,0
11289,Q08230,Q08215,0
11290,Q08230,P40318,0
11291,Q08230,P38428,0
11292,Q08230,P39007,0
11293,P00045,P33754,0
11294,P00045,P25574,0
11295,P00045,Q12404,0
11296,Q12287,P39543,0
11297,Q12287,P40318,0
11298,Q12287,P48415,0
11299,Q12287,P11655,0
11300,Q12287,P52871,0
11301,Q12287,P38307,0
11302,Q01519,P43555,0
11303,Q01519,Q02795,0
11304,Q01519,P33891,0
11305,P50861,P40075,0
11306,P50861,P52871,0
11307,P50861,Q08199,0
11308,P00175,P20606,0
11309,P00175,P39107,0
11310,P00175,P33754,0
11311,P00175,P39543,0
11312,P00175,Q03337,0
11313,P07143,Q03630,0
11314,P07143,Q92316,0
11315,P16622,P15303,0
11316,P16622,P33775,0
11317,P16622,P16603,0
11318,P33421,P46964,0
11319,P33421,P41806,0
11320,P00410,Q99325,0
11321,P00410,P33754,0
11322,P00410,Q03723,0
11323,P00410,P53073,0
11324,P00854,P35179,0
11325,P00854,P40075,0
11326,P18239,P48439,0
11327,P18239,Q12025,0
11328,P18239,Q08001,0
11329,P07255,P48439,0
11330,P07255,P32361,0
11331,P04039,Q12154,0
11332,P04039,P39007,0
11333,P04039,P39107,0
11334,P08525,P38334,0
11335,P08525,P39986,0
11336,P08525,Q92328,0
11337,P08525,Q12745,0
11338,P08525,P33775,0
11339,P08525,P47133,0
11340,P00128,Q02795,0
11341,P00128,Q06681,0
11342,P00128,P38353,0
11343,P00427,P38353,0
11344,P00424,Q03723,0
11345,P00424,P11655,0
11346,P00424,Q12284,0
11347,P04037,P53860,0
11348,P04037,P39543,0
11349,Q01852,P40075,0
11350,Q01852,P40075,0
11351,Q01852,P40075,0
11352,O74700,P41543,0
11353,O74700,Q12154,0
11354,O74700,P53847,0
11355,P87108,P33755,0
11356,P32830,P14906,0
11357,P32830,P36149,0
11358,P32830,P25694,0
11359,P32830,Q04311,0
11360,Q05776,P39986,0
11361,Q05776,P40107,0
11362,Q12208,Q05919,0
11363,Q12208,P40107,0
11364,Q12208,P13134,0
11365,P36146,P43621,0
11366,P36146,P36116,0
11367,P36146,P20606,0
11368,P36146,P36149,0
11369,P12689,P43621,0
11370,P12689,Q04410,0
11371,P12689,P39107,0
11372,P12689,P22803,0
11373,P34111,P40056,0
11374,P34111,Q99394,0
11375,P34111,Q03660,0
11376,P34111,P47064,0
11377,P34111,P15303,0
11378,P34111,P38182,0
11379,P34111,P40482,0
11380,P40051,Q04651,0
11381,P40051,Q01590,0
11382,P40051,P15303,0
11383,P27692,P20606,0
11384,P27692,P25385,0
11385,P27692,Q01590,0
11386,P27692,P20606,0
11387,P17106,P38817,0
11388,P17106,P53271,0
11389,P17106,Q12154,0
11390,Q02486,P39107,0
11391,Q02486,P22219,0
11392,P38077,Q04651,0
11393,P38077,P38334,0
11394,P00830,P41811,0
11395,P00830,P32893,0
11396,P00830,Q04183,0
11397,P21306,P35197,0
11398,P21306,P43621,0
11399,P21306,P38153,0
11400,Q06405,P17065,0
11401,Q06405,Q03322,0
11402,Q06405,P41811,0
11403,Q06405,P35197,0
11404,Q06405,P38555,0
11405,Q06405,P38153,0
11406,Q06405,Q05919,0
11407,Q06405,Q12154,0
11408,Q12349,P22543,0
11409,Q12349,Q08951,0
11410,Q12165,P38682,0
11411,Q12165,P40107,0
11412,Q12165,P11655,0
11413,P30902,P40107,0
11414,P30902,P32600,0
11415,P30902,Q03784,0
11416,P09457,P25386,0
11417,P09457,P25386,0
11418,P09457,P25386,0
11419,P09457,P37296,0
11420,P05626,P32913,0
11421,P05626,Q99394,0
11422,P05626,Q06385,0
11423,P01097,Q12154,0
11424,P01097,Q02804,0
11425,P01097,Q03337,0
11426,P01097,P35844,0
11427,P32445,P22804,0
11428,P32445,Q04410,0
11429,P25605,P22219,0
11430,P25605,Q05919,0
11431,P25605,P32893,0
11432,P21954,P40482,0
11433,P21954,P40056,0
11434,Q00539,Q12114,0
11435,Q00539,P36116,0
11436,Q00539,P53271,0
11437,Q00539,P38334,0
11438,P07342,P11075,0
11439,Q01217,Q01590,0
11440,Q01217,Q03337,0
11441,P13433,Q12154,0
11442,P13433,P38334,0
11443,P13433,P47061,0
11444,P13433,P17065,0
11445,P13433,P47064,0
11446,P13433,P40527,0
11447,P49334,P38682,0
11448,P49334,P41806,0
11449,P49334,P38182,0
11450,P49334,P37296,0
11451,P49334,Q01590,0
11452,P53507,Q12114,0
11453,P53507,P32893,0
11454,P53507,P32600,0
11455,P53507,P38182,0
11456,P53507,P46682,0
11457,P33448,P38682,0
11458,P33448,Q12114,0
11459,P33448,P38334,0
11460,P33448,P35844,0
11461,P33448,P11655,0
11462,P28737,P11076,0
11463,P28737,P40056,0
11464,P28737,Q03322,0
11465,P28737,Q04651,0
11466,Q92328,P40955,0
11467,Q92328,P37296,0
11468,Q92328,Q05919,0
11469,Q07807,Q08484,0
11470,Q07807,P43555,0
11471,Q07807,P31109,0
11472,Q07807,P22219,0
11473,Q07807,P40509,0
11474,P23644,P38334,0
11475,P23644,P38817,0
11476,P23644,P47061,0
11477,P23644,P47064,0
11478,P23644,Q04183,0
11479,P14693,P32600,0
11480,P14693,P35845,0
11481,P14693,P46682,0
11482,P38825,P38182,0
11483,P38825,P40056,0
11484,P38825,P38153,0
11485,P38825,Q04183,0
11486,P38825,P39107,0
11487,P38825,P47160,0
11488,P36130,P22803,0
11489,P36130,P20606,0
11490,P36130,P43621,0
11491,P36130,P41811,0
11492,P36130,P24280,0
11493,P40515,P46682,0
11494,P40515,Q08484,0
11495,P40515,P35197,0
11496,P47025,P43555,0
11497,P38169,P35197,0
11498,P38169,P38153,0
11499,P38169,Q03337,0
11500,P38169,P37296,0
11501,P81450,P39524,0
11502,P81450,P43621,0
11503,P81450,P22219,0
11504,P81450,P35844,0
11505,P81450,P53622,0
11506,P61829,P25385,0
11507,P61829,P53192,0
11508,P61829,P53622,0
11509,Q06681,P38153,0
11510,Q06681,Q02804,0
11511,P53721,Q05919,0
11512,P53721,P32600,0
11513,P53721,Q03630,0
11514,P53721,P11655,0
11515,P53721,P38182,0
11516,P53721,P22543,0
11517,P53721,Q04183,0
11518,P53721,P35844,0
11519,Q03713,Q08951,0
11520,Q03713,Q01590,0
11521,Q03713,P15303,0
11522,Q03713,P47064,0
11523,Q03713,P22803,0
11524,P00447,Q04410,0
11525,P00447,Q03660,0
11526,P00447,Q08951,0
11527,P00447,Q04410,0
11528,P40513,Q03337,0
11529,P40513,P38153,0
11530,P40513,Q06385,0
11531,P40513,P25385,0
11532,P40513,P38995,0
11533,P00431,P25386,0
11534,P00431,P40107,0
11535,P00431,P39107,0
